210,Osnove programiranja,3,0,3,0.00,9,1,Zimski,Softversko inženjerstvo i informacione tehnologije
211,Arhitektura računara,3,0,3,0.00,9,1,Zimski,Softversko inženjerstvo i informacione tehnologije
212,Algebra,4,3,1,0.00,6,1,Zimski,Softversko inženjerstvo i informacione tehnologije
213,Sociologija tehnike,2,0,0,0.00,3,1,Zimski,Softversko inženjerstvo i informacione tehnologije
214,Izborni strani jezik 1,2,0,0,0.00,3,1,Zimski,Softversko inženjerstvo i informacione tehnologije
215,Web dizajn,2,0,2,0.00,6,1,Letnji,Softversko inženjerstvo i informacione tehnologije
216,Internet mreže,2,0,2,0.00,4,1,Letnji,Softversko inženjerstvo i informacione tehnologije
217,Objektno orijentisano programiranje 1,3,0,2,0.00,7,1,Letnji,Softversko inženjerstvo i informacione tehnologije
218,Algoritmi i strukture podataka,3,0,2,0.00,7,1,Letnji,Softversko inženjerstvo i informacione tehnologije
219,Matematička analiza,4,4,0,0.00,6,1,Letnji,Softversko inženjerstvo i informacione tehnologije
220,Objektno orijentisano programiranje 2,3,0,3,0.00,6,2,Zimski,Softversko inženjerstvo i informacione tehnologije
221,Organizacija podataka,2,0,2,0.00,6,2,Zimski,Softversko inženjerstvo i informacione tehnologije
222,Numerički algoritmi i numerički softver,2,0,2,0.00,4,2,Zimski,Softversko inženjerstvo i informacione tehnologije
223,Nelinearno programiranje i evolutivni algoritmi,2,2,1,0.00,4,2,Zimski,Softversko inženjerstvo i informacione tehnologije
224,Diskretna matematika,3,3,0,0.00,6,2,Zimski,Softversko inženjerstvo i informacione tehnologije
225,Izborna pozicija - 1,2,0,2,0.00,4,2,Zimski,Softversko inženjerstvo i informacione tehnologije
226,Uvod u softversko inženjerstvo,3,0,2,0.00,6,2,Letnji,Softversko inženjerstvo i informacione tehnologije
227,Specifikacija i modeliranje softvera,3,0,3,0.00,6,2,Letnji,Softversko inženjerstvo i informacione tehnologije
228,Upravljanje informacijama,2,0,2,0.00,5,2,Letnji,Softversko inženjerstvo i informacione tehnologije
229,Baze podataka,2,0,2,0.00,4,2,Letnji,Softversko inženjerstvo i informacione tehnologije
230,Operativni sistemi,2,0,2,0.00,4,2,Letnji,Softversko inženjerstvo i informacione tehnologije
231,Izborna pozicija - 2,3,0-2,0-2,0.00,5,2,Letnji,Softversko inženjerstvo i informacione tehnologije
232,Softverski obrasci i komponente,2,0,2,0.00,5,3,Zimski,Softversko inženjerstvo i informacione tehnologije
233,Metodologije razvoja softvera,2,0,2,0.00,5,3,Zimski,Softversko inženjerstvo i informacione tehnologije
234,Inženjerstvo serverskog sloja,2,0,2,0.00,5,3,Zimski,Softversko inženjerstvo i informacione tehnologije
235,Testiranje softvera,2,0,2,0.00,5,3,Zimski,Softversko inženjerstvo i informacione tehnologije
236,Mobilne aplikacije,2,0,2,0.00,5,3,Zimski,Softversko inženjerstvo i informacione tehnologije
237,Inženjerstvo klijentskog sloja,2,0,2,0.00,5,3,Zimski,Softversko inženjerstvo i informacione tehnologije
238,Računarstvo u oblaku,3,0,2,0.00,5,3,Letnji,Softversko inženjerstvo i informacione tehnologije
239,Interakcija čovek računar,2,0,2,0.00,5,3,Letnji,Softversko inženjerstvo i informacione tehnologije
240,Informaciona bezbednost,2,0,2,0.00,5,3,Letnji,Softversko inženjerstvo i informacione tehnologije
241,Računarska inteligencija,3,0,2,0.00,5,3,Letnji,Softversko inženjerstvo i informacione tehnologije
242,Statistika,3,1,2,0.00,5,3,Letnji,Softversko inženjerstvo i informacione tehnologije
243,Izborna pozicija - 3,2,0,2,0.00,5,3,Letnji,Softversko inženjerstvo i informacione tehnologije
